Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
2,3,2021,0,2,65.13,245.93,26.58,10.07,0.99,31.19,195
3,3,2021,0,3,67.71,297.37,33.79,15.74,1.29,27.97,219
4,3,2021,0,4,97.47,318.17,46.37,11.82,1.35,26.03,292
5,3,2021,0,5,82.26,302.97,34.09,10.13,1.21,26.37,282
6,3,2021,0,6,75.4,315.77,37.48,14.53,1.15,22.72,222
7,3,2021,1,7,79.9,287.48,40.27,11.03,1.02,32.92,285
8,3,2021,0,1,78.7,253.83,29.79,7.3,0.81,36.51,197
9,3,2021,0,2,93.4,315.09,30.26,7.14,0.96,30.19,255
10,3,2021,0,3,80.45,248.73,30.08,8.9,1.37,23.29,203
11,3,2021,1,4,101.69,319.12,31.24,8.67,1.33,14.32,302
12,3,2021,0,5,67.1,201.91,27.53,6.67,0.82,11.22,174
13,3,2021,0,6,78.91,302.96,27.97,11.06,1.08,15.49,241
14,3,2021,1,7,66,238.62,24.15,10.01,0.93,14.11,209
15,3,2021,0,1,74.58,284.16,26.14,13.11,0.68,15.64,220
16,3,2021,0,2,172.6,402.58,29.47,15.91,1.44,10.54,299
17,3,2021,0,3,209.64,423.31,28.42,12.19,0.72,9.26,402
18,3,2021,0,4,216.6,421.63,30.68,13.95,0.7,29.91,376
19,3,2021,0,5,177.01,351.88,30.42,10.8,0.76,22.33,360
20,3,2021,0,6,143.86,310.02,28.43,12.5,0.69,15.35,327
21,3,2021,1,7,171.25,296.35,29.6,10.22,0.72,19.76,336
22,3,2021,0,1,108.25,226.09,30.51,9.3,0.4,24.28,261
23,3,2021,0,2,101.71,266.63,30.85,7.53,0.5,17.38,264
24,3,2021,0,3,80.51,251.9,28.92,10.7,0.59,21.23,201
25,3,2021,0,4,59.72,187.75,24.65,9.43,0.42,25.48,178
26,3,2021,0,5,91.65,226.56,28.72,13.93,0.54,27.59,202
27,3,2021,0,6,130.48,230.24,28.67,10.78,0.64,19.98,263
28,3,2021,1,7,181.79,321.48,42.29,12.11,1.01,15.1,319
29,3,2021,1,1,164.92,247.41,27.1,10.66,0.93,19.01,338
30,3,2021,0,2,258.36,369.35,22.69,9.19,0.81,22.93,370
31,3,2021,0,3,139.71,302.2,21.68,10.88,0.88,31.03,301
1,4,2021,0,4,147.41,286.62,25.42,14.26,0.72,27.1,283
2,4,2021,1,5,103.96,225.58,33.5,19.18,0.93,23.99,274
3,4,2021,0,6,95.11,198.83,36.44,14.55,1.02,24.44,228
4,4,2021,1,7,127.36,275.25,43.92,16.21,1.12,18.14,255
5,4,2021,0,1,140.43,274.95,52.49,15.62,1.07,29.93,284
6,4,2021,0,2,156.4,339.72,44.03,14.49,0.85,53.1,327
7,4,2021,0,3,136.94,295.23,29.76,9.99,1,40.95,306
8,4,2021,0,4,97.03,198.67,31.74,11.64,1.16,37.81,228
9,4,2021,0,5,114.99,249.55,36.75,18.06,0.98,36.14,249
10,4,2021,0,6,107.9,236.35,41.01,14.5,1.13,33.91,252
11,4,2021,1,7,112.5,261.79,39.14,18.09,1.1,37.97,245
12,4,2021,0,1,133.88,318.96,41.64,20.3,0.74,37.25,298
13,4,2021,0,2,135.06,366.24,41.2,16.95,1.35,31.69,299
14,4,2021,1,3,122.01,287.15,37.14,18.45,1.05,37.48,275
15,4,2021,0,4,135.46,327.8,38.92,19.4,0.94,35.23,300
16,4,2021,0,5,166.52,341.41,35.41,15.95,1.02,32.42,324
17,4,2021,0,6,53.55,119.2,21.03,9.16,1.16,27.07,168
18,4,2021,1,7,92.27,201.57,25.38,11.06,1,35.33,159
19,4,2021,0,1,133.88,297.82,36.4,19.03,0.91,34.3,278
20,4,2021,0,2,98.76,240.34,24.19,14.86,0.94,43.34,267
21,4,2021,0,3,57.11,126.36,19.33,10.79,0.52,35.53,134
22,4,2021,0,4,67.89,154.22,19.74,10.72,0.66,45.58,134
23,4,2021,0,5,55.75,137.37,19.21,9.4,0.91,43.95,126
24,4,2021,0,6,79.7,158.31,23.98,11.8,0.81,40.56,131
25,4,2021,1,7,108.96,251.43,33.28,14.02,0.97,41.9,251
26,4,2021,0,1,142.25,318.53,42.64,18,0.91,42.57,281
27,4,2021,0,2,170.74,379.11,45.61,19.6,0.76,41.16,330
28,4,2021,0,3,185.21,403.15,40.86,22.83,0.81,38.36,354
29,4,2021,0,4,211.34,431.23,33.92,20.27,0.91,41.43,363
30,4,2021,0,5,107.36,426.43,32.9,17.85,0.92,45.41,336
1,5,2021,0,6,56.23,259.15,23.7,11.75,0.83,53.12,270
2,5,2021,1,7,49.68,250.12,25.55,11.52,0.72,33.96,196
3,5,2021,0,1,141.06,427.52,23.54,15.44,0.6,28.56,325
4,5,2021,0,2,130.35,221.83,23.83,14.67,0.58,32.01,319
5,5,2021,0,3,87.81,229.07,20.09,12.49,0.83,50.72,185
6,5,2021,0,4,53.63,178.03,17.37,9.21,0.81,47.15,160
7,5,2021,0,5,26.86,141.9,19.73,10.44,0.78,45.7,132
8,5,2021,0,6,40.85,163.05,22.93,11.83,1.02,43.42,146
9,5,2021,1,7,86.61,150.4,19.07,9.49,0.59,51.94,169
10,5,2021,0,1,61.19,131.2,22.13,9.45,0.75,50.08,141
11,5,2021,0,2,60.62,164.18,16.35,8.89,0.88,47.15,138
12,5,2021,0,3,64,164.21,17.49,9.27,1.13,42.07,146
13,5,2021,0,4,39.06,102.43,18.84,8.32,0.73,38.19,126
14,5,2021,1,5,42.51,120.9,17.49,8.16,0.81,43.98,107
15,5,2021,0,6,79.04,208.03,19.01,8.85,0.72,39.21,148
16,5,2021,1,7,81.39,173.07,24.46,9.32,0.73,44.51,186
17,5,2021,0,1,98.98,228.86,32.35,13.59,0.59,34.11,236
18,5,2021,0,2,23.69,79.7,17.75,7.26,0.51,20.32,107
19,5,2021,0,3,23.4,69.95,13.63,7.57,0.58,18.66,80
20,5,2021,0,4,30.79,53.18,16.02,6.3,0.66,32.25,43
21,5,2021,0,5,33.65,69.03,15.62,5.39,0.71,35.54,71
22,5,2021,0,6,38.24,71.3,19.33,5.56,0.79,44.61,66
23,5,2021,1,7,310.48,327.8,16.57,6.28,0.63,38.88,289
24,5,2021,0,1,89.56,171.73,21.2,7.68,0.66,42.35,240
25,5,2021,0,2,71.25,179.11,25.91,8.03,0.62,46.08,160
26,5,2021,1,3,83.75,174.2,32.04,9.32,0.65,41.45,158
27,5,2021,0,4,72.48,178.35,28.85,8.24,0.77,40.1,171
28,5,2021,0,5,39.76,120.11,17.35,7.15,0.51,44.79,119
29,5,2021,0,6,39.99,119.86,13.75,5.63,0.59,41.08,100
30,5,2021,1,7,57.64,152.14,14.21,6.53,0.59,40.93,112.5
31,5,2021,0,1,53.55,145.91,23.36,6.24,0.53,33.06,125
1,6,2021,0,2,43.64,157.06,18.63,5.23,0.64,43.67,173
2,6,2021,0,3,57.22,147.95,23.29,6.42,0.7,35.31,134
3,6,2021,0,4,62.65,162.77,20.13,8,0.52,51.53,122
4,6,2021,0,5,61.52,175.35,20.48,6.48,0.57,35.88,160
5,6,2021,0,6,48,131.85,20.2,5.75,0.51,29.96,145
6,6,2021,1,7,57,166.19,17.59,5.96,0.65,21.85,130
7,6,2021,0,1,79.08,223.09,28.51,9.34,1.02,40.6,180
8,6,2021,0,2,156.9,444.96,22.89,9.52,0.61,14.71,219
9,6,2021,0,3,149.78,338.64,19.12,8.19,0.55,15.73,377
10,6,2021,0,4,98.24,309.53,14.46,5.95,0.59,15.54,293
11,6,2021,0,5,63.99,203.74,19.33,6.2,0.65,19.32,164
12,6,2021,0,6,42.37,136.71,14.86,5.82,1.8,17.38,176
13,6,2021,1,7,31.13,99.76,18.54,6.26,1.37,17.77,144.5
14,6,2021,0,1,39.41,135.64,22.53,7.27,0.94,16.56,113
15,6,2021,0,2,35.16,137.37,14.85,5.3,1.15,15.35,123
16,6,2021,0,3,25.61,111.25,18.53,6.25,1.64,16.29,123
17,6,2021,0,4,45.16,115.22,18.69,4.7,1.19,15.92,109
18,6,2021,0,5,31.19,84.86,12.71,6,1.15,15.02,92
19,6,2021,0,6,27.25,78.47,12.66,6.87,0.97,15.56,81
20,6,2021,1,7,29.87,62.71,11.54,5.85,0.68,16.46,69
21,6,2021,0,1,44.18,90.01,16.47,7.66,0.88,20.81,74
22,6,2021,0,2,87.14,186.84,20.76,8.11,0.73,32.06,126
23,6,2021,0,3,90.68,325.54,25.56,8.86,0.73,16.31,289
24,6,2021,0,4,62.1,190.03,18.35,5.84,0.59,15.36,143
25,6,2021,0,5,82.57,224.07,19.47,6.57,0.67,24.19,152
26,6,2021,0,6,55.33,174.25,27.38,6.45,0.65,21.79,161
27,6,2021,1,7,91.03,225.75,23.85,7.67,0.82,15.55,171
28,6,2021,0,1,64.22,176.07,17.78,5.19,0.78,17.67,161
29,6,2021,0,2,135.19,270.65,28.34,8.22,1.07,13.81,210
30,6,2021,0,3,179.04,452.06,22.02,7.59,0.78,22.52,298
1,7,2021,0,4,93.52,282.55,21.21,6.97,0.79,32.74,301
2,7,2021,0,5,94.91,294.19,21.49,8.52,0.85,29.18,273
3,7,2021,0,6,61.86,166.37,19.9,6.41,0.68,11.53,157
4,7,2021,1,7,67.48,202.76,24.17,6.63,0.71,11.17,160.5
5,7,2021,0,1,71.42,194.87,19.26,6.64,0.88,17.75,164
6,7,2021,0,2,48.36,203.22,19.92,8.3,0.91,19.58,171
7,7,2021,0,3,45.19,246.24,22.84,7.16,0.8,9.99,212
8,7,2021,0,4,77.28,238.49,19.86,7.46,1.42,26.81,177
9,7,2021,0,5,57.74,141.15,21.06,6.41,1.31,55.59,173
10,7,2021,0,6,38.53,92.37,18.03,5.05,1.68,57.67,130
11,7,2021,1,7,44.34,118.52,15.07,5.56,0.52,46.55,101
12,7,2021,0,1,29.66,100.48,15.57,6.19,0.79,36.43,106
13,7,2021,0,2,28.25,72.23,22.82,7.92,0.43,23.18,77
14,7,2021,0,3,40.64333333,90.55,23.81,7.59,1.07,24.96,88
15,7,2021,0,4,53.03666667,119.85,20.37,4.93,0.84,24.79,102
16,7,2021,0,5,65.43,118.07,20.32,5.9,0.67,31.89,100
17,7,2021,0,6,47.13,122.45,18.02,5.46,0.66,34.65,138
18,7,2021,1,7,14.26,111.96,19.24,5.45,0.59,30.97,109
19,7,2021,0,1,8.33,42.62,17.87,5.06,0.7,24.3,66
20,7,2021,0,2,13.03,67.13,21.17,5.63,0.62,28.5,55
21,7,2021,1,3,15.03,91.89,21.6,6.73,0.74,23.16,67
22,7,2021,0,4,18.3,128.38,16.94,4.46,0.7,27.51,136
23,7,2021,0,5,18.05,57.07,18.72,4.47,0.57,31.17,55
24,7,2021,0,6,25.3,117.23,23.64,5.42,0.75,38.63,92
25,7,2021,1,7,25.32,82.54,21.48,5.64,0.62,34.08,99
26,7,2021,0,1,36.58,87.93,18.85,5.23,0.78,37.97,72
27,7,2021,0,2,25.44,65.92,16.85,4.85,0.64,18.37,83
28,7,2021,0,3,15.33,35.48,15.8,4.43,0.53,17.41,42
29,7,2021,0,4,21.49,53.18,16.61,4.81,0.7,18.13,49
30,7,2021,0,5,26.06,75.76,22.56,7.21,1.24,23.69,76
31,7,2021,0,6,17.19,47.57,19.46,4.53,1.03,29.65,55
1,8,2021,1,7,19.22,63.36,21.01,4.75,1.09,21.84,67
2,8,2021,0,1,22.73,73.49,27.53,5.58,1.07,21.47,76
3,8,2021,0,2,21.51,66.33,21.93,4.91,0.85,27.78,61
4,8,2021,0,3,26.42,62.72,22.88,4.54,1.01,30.63,62
5,8,2021,0,4,45.36,104.71,25.82,4.79,0.73,33.69,94
6,8,2021,0,5,36.91,99.92,26.4,4.75,0.66,38.31,101
7,8,2021,0,6,36.9,85.27,27.24,5.61,0.68,22.99,94
8,8,2021,1,7,40.79,71,27.17,5.12,0.6,20.32,87
9,8,2021,0,1,54.97,83.81,27.89,5.17,0.91,30.71,96
10,8,2021,0,2,52.76,154.44,22.69,5.66,0.72,24.15,105
11,8,2021,0,3,69.42,136.1,19.03,4.29,0.98,23.21,142
12,8,2021,0,4,54.86,80.4,17.98,5.77,0.53,27.19,121
13,8,2021,0,5,50.37,85.57,17.89,5.8,0.56,26.78,103
14,8,2021,0,6,42.78,74.9,17.82,7.07,1.12,29.37,90
15,8,2021,1,7,48.9,79.18,15.94,6.13,1.03,30.63,77
16,8,2021,0,1,52.63,88.34,19.07,6.61,1.34,29.42,101
17,8,2021,0,2,47.74,91.43,20.55,6.1,0.78,37.08,93
18,8,2021,0,3,52.81,89.92,21.78,7.11,0.64,42.54,92
19,8,2021,0,4,54.32,84.84,31.28,5.61,0.82,43.2,98
20,8,2021,1,5,40.87,78.49,24.43,5.62,0.89,28.28,81
21,8,2021,0,6,19.35,46.99,19.45,5.98,1.11,24.46,60
22,8,2021,1,7,17.78,68.4,17.26,5.81,0.39,29.15,50
23,8,2021,0,1,30.14,90.4,20.48,3.89,1.1,27.18,88
24,8,2021,0,2,35.75,96.08,23.2,5.17,0.6,24.06,103.5
25,8,2021,0,3,49.39,159.95,23.52,5.88,0.91,22.87,119
26,8,2021,0,4,38.64,143.08,22.54,4.97,0.6,26.98,130
27,8,2021,0,5,55.74,183.15,19.7,7.52,0.7,29.6,150
28,8,2021,0,6,56.86,176.93,22.39,4.66,1.09,34.39,160
29,8,2021,1,7,55.51,135.9,20.07,7.18,0.59,31.29,131
30,8,2021,1,1,36.13,75.48,14.92,4.84,0.96,34.66,86
31,8,2021,0,2,30.81,50.36,18.57,6.96,0.66,19.74,63
1,9,2021,0,3,27.68,48.52,20.45,5.85,0.65,17.49,53
2,9,2021,0,4,26.42,45.25,20.94,5.69,0.87,30.76,55
3,9,2021,0,5,15.05,42.37,17.31,4.11,1.46,29.05,68
4,9,2021,0,6,16.41,31.92,22.31,6.34,2.35,23.97,157
5,9,2021,1,7,24.65,39.3,19.2,5.22,1.65,31.31,58
6,9,2021,0,1,35.05,104.1,25.41,5.89,0.5,36.16,77
7,9,2021,0,2,37.36,92.72,19.42,3.99,0.96,33.37,96
8,9,2021,0,3,25.1,67.79,20.25,5.09,0.78,29.11,76
9,9,2021,0,4,29.39,61.01,19.73,6.97,0.87,29.15,65
10,9,2021,0,5,26.3,51.74,19.63,4.52,0.84,23.13,56
11,9,2021,0,6,14.44,45.24,21.09,6.17,0.94,22.9,38
12,9,2021,1,7,30.76,64.89,20.26,18.6,1.22,21.55,63
13,9,2021,0,1,37.02,66.7,21.76,5.75,0.74,25,75
14,9,2021,0,2,26.38,66.91,21.61,7.26,0.96,25.27,60
15,9,2021,0,3,15.14,62.95,20.22,6.45,1.11,24.45,66
16,9,2021,0,4,23.56,74.67,21.96,5.61,1.03,14.5,82
17,9,2021,0,5,20.44,86.49,21.43,6.36,1.24,23.37,70
18,9,2021,0,6,32.8,104.14,23.42,5.23,1.15,31.42,97
19,9,2021,1,7,28.69,89.72,21.38,5.36,0.99,26.29,101
20,9,2021,0,1,22.22,85.53,20.72,6.72,1.11,27.27,84
21,9,2021,0,2,36.31,93.62,21.79,8.02,0.98,25.99,90
22,9,2021,0,3,31.17,99.19,25.1,6.71,1.31,24.83,91
23,9,2021,0,4,34.08,81.5,18.62,6.31,1.28,28.23,88
24,9,2021,0,5,29.69,89.66,21.52,9.59,0.82,24.33,84
25,9,2021,0,6,50.11,105.61,23.42,5.81,0.89,29.21,101
26,9,2021,1,7,48.42,95.86,22.66,7.18,0.76,30.07,97
27,9,2021,0,1,82.93,129.03,22.9,6.7,0.87,35,153
28,9,2021,0,2,71.54,140.49,24.09,7.48,1,29.81,192
29,9,2021,0,3,37.74,94.29,23.66,7.55,0.83,26.42,97
30,9,2021,0,4,56.75,106.06,23.84,6.65,0.56,28.23,94
1,10,2021,0,5,57.53,130.55,29.85,8.41,0.57,23.86,120
2,10,2021,1,6,78.49,142.44,22.53,6.36,0.81,29.14,146
3,10,2021,1,7,52.56,134.51,20.2,7.58,0.8,21.04,126
4,10,2021,0,1,47.24,106.85,20.37,6.45,0.54,19.57,110
5,10,2021,0,2,61.97,147.1,22.5,5.13,0.66,35.02,124
6,10,2021,0,3,73.07,139.89,22.81,5.38,1.04,28.29,142
7,10,2021,0,4,114.18,189.56,24.76,12.76,0.59,38.25,202
8,10,2021,0,5,101.28,220.86,30.98,9.73,1.21,35.69,285
9,10,2021,0,6,62.15,214.76,29.26,9.12,0.78,31.01,176
10,10,2021,1,7,73.59,230.12,28.85,7.59,1.27,28.6,184
11,10,2021,0,1,79.9,213.21,29,8.54,0.96,29.96,195
12,10,2021,0,2,95.23,257.71,32.09,7.33,1.21,30.91,202
13,10,2021,0,3,111.75,264.42,31.29,6.67,0.82,48.03,216
14,10,2021,0,4,142.98,239.16,35.9,9.5,1.59,51.65,313
15,10,2021,1,5,111.29,251.25,35.12,6.68,1.4,52.5,274
16,10,2021,0,6,178.57,326.42,38.6,9.4,1.9,68.4,322
17,10,2021,1,7,179.92,296.56,29.84,9.34,1.91,39.92,257
18,10,2021,0,1,71.83,89.93,22.05,4.12,1.71,29.3,192
19,10,2021,1,2,92.66,133.3,21.06,7.37,1.23,40.16,127
20,10,2021,0,3,142.93,259.05,32.53,7.79,1.49,41.86,303
21,10,2021,0,4,120.71,262.84,33.35,7.49,1.45,33.17,284
22,10,2021,0,5,91.97,202.75,51.35,7.34,2.28,32.57,234.5
23,10,2021,0,6,81.9,151.2,66.6,5.65,1.4,44.6,185
24,10,2021,1,7,89.57,137.99,51.99,9.96,1.29,56.75,188
25,10,2021,0,1,47.82,100.68,66.92,7.27,1.44,40.25,101
26,10,2021,0,2,83.3,170.07,63.99,8,1.96,40.8,154
27,10,2021,0,3,125.19,260.5,80.86,8.11,2.14,44.5,268
28,10,2021,0,4,166.97,284,84.43,10.82,2.18,36.09,312
29,10,2021,0,5,193.68,302.64,87.56,13.11,2.73,51.36,354
30,10,2021,0,6,174.94,263.66,88.94,7.11,2.58,47.58,347
31,10,2021,1,7,167.59,276.55,77.2,10.99,2.37,52.22,339
1,11,2021,0,1,188.92,278.87,96.37,8.6,3.04,59.26,345
2,11,2021,0,2,172.05,246.93,87.98,9.43,2.27,55.73,343
3,11,2021,0,3,166.74,270.13,101.78,9.21,2.23,13.08,328
4,11,2021,1,4,296.67,499.93,76.16,4.03,1.81,7.64,388
5,11,2021,0,5,367.68,576.3,58,13.73,1.41,6.52,459
6,11,2021,0,6,295.9,530.25,84.76,6.22,1.93,5.89,425
7,11,2021,1,7,201.59,357.8,91.46,7.09,1.07,10.14,397
8,11,2021,0,1,209.9,333.14,96.97,10.27,1.56,8.71,363
9,11,2021,0,2,214.15,344.83,94.98,9.19,1.26,6.07,375
10,11,2021,0,3,202.37,347.01,88.68,9.77,1.5,9.42,352
11,11,2021,0,4,253.7,432.12,87.37,7.94,2.27,6.87,391
12,11,2021,0,5,318.38,524,63.17,10.24,1.23,5.73,417
13,11,2021,0,6,277.96,504.38,52.83,7.36,2.51,16.01,448
14,11,2021,1,7,158.44,303.1,48.24,8.98,1.38,19.98,334
15,11,2021,0,1,201.28,346.77,56.06,10.01,1.53,8.54,342
16,11,2021,0,2,217.15,371.52,51.09,10.99,1.85,18.89,382
17,11,2021,0,3,171.92,329.96,50.02,12.01,2.52,23.48,358
18,11,2021,0,4,179.95,332.98,55.16,11.94,1.67,23.09,325
19,11,2021,1,5,204.75,364.03,54.51,14.6,2.07,21.74,367
20,11,2021,0,6,190.83,353.59,53.14,14.63,2.25,20.61,346
21,11,2021,1,7,183.1,326.47,54.34,9.48,1.18,20.28,353
22,11,2021,0,1,154.84,282.87,44.49,9.87,1.18,23.38,336
23,11,2021,0,2,125.31,236.42,39.01,11.48,2.12,20.99,293
24,11,2021,0,3,158.09,304.71,67.48,13.93,1.47,12.74,274
25,11,2021,0,4,236.7,347.79,65.76,14.13,1.7,3.26,376
26,11,2021,0,5,199.45,415.45,61.53,15.38,2.16,4.57,360
27,11,2021,0,6,258.66,363.36,57.47,12.25,1.98,8.49,402
28,11,2021,1,7,303.31,432.37,56.9,12.88,2.04,8.6,416
29,11,2021,0,1,260.03,416.95,49.25,14.83,1.33,8.72,404
30,11,2021,0,2,213.36,294.81,46.56,13.01,1.67,19.53,372
1,12,2021,0,3,237.59,369.4,54.87,11.65,1.98,21.89,374
2,12,2021,0,4,313.45,494.29,44.69,6.68,1.66,16.45,441
3,12,2021,0,5,200.57,345.53,37.22,11.68,1.3,12.27,359
4,12,2021,0,6,147.48,247.97,35.81,9.15,1.23,14.17,360
5,12,2021,1,7,163.12,294.97,48.13,17.21,2.26,15.53,279
6,12,2021,0,1,161.28,263.39,40.93,15.13,2.14,18.73,353
7,12,2021,0,2,132.03,223.54,37.23,19.25,1.76,14.64,298
8,12,2021,0,3,140.43,242.51,39.52,12.56,2,16.25,294
9,12,2021,0,4,166.79,268.29,45.33,14.9,1.01,10.27,318
10,12,2021,0,5,160.11,284.75,48.13,7.49,1.45,15.71,331
11,12,2021,0,6,129.36,223.03,40.31,11.29,1.13,18.21,319
12,12,2021,1,7,141.73,219.22,44.38,11.87,1.84,17.31,278
13,12,2021,0,1,179.54,297.37,43.97,15.79,2.02,19.59,322
14,12,2021,0,2,143.49,384.99,48.38,13.93,2.85,25.23,323
15,12,2021,0,3,199.72,330.83,46.02,13.39,1.58,16.97,327
16,12,2021,0,4,243.89,369.45,51.43,6.83,1.78,14.89,361
17,12,2021,0,5,157.97,284.83,35.63,7.99,1.01,25.87,338
18,12,2021,0,6,150.21,265.33,32.11,7.85,0.94,18.31,325
19,12,2021,1,7,169.68,265.16,37.56,8.86,0.93,20.58,292
20,12,2021,0,1,163.75,351.63,40.95,11.03,1.51,18.38,294
21,12,2021,0,2,227.86,505.18,47.47,10.82,1.76,18.42,390
22,12,2021,0,3,333.3,499.26,49.88,10.58,1.68,19.22,432
23,12,2021,0,4,149.42,385.58,61.2,9.63,1.87,26.32,361
24,12,2021,0,5,158.91,363.15,49.77,11.18,2.1,19.82,324
25,12,2021,1,6,298.56,548.68,52.71,12.67,3.9,31.48,392
26,12,2021,1,7,188.31,534.41,48.99,9.74,3.93,23.39,450
27,12,2021,0,1,92.28,259.86,36.17,11.13,2.27,18.66,262
28,12,2021,0,2,108.81,300.24,49.88,9.75,2.15,14.68,276
29,12,2021,0,3,75.79,300.75,34.29,9.76,1.3,18.05,221
30,12,2021,0,4,83.23,372.65,36.97,14.92,1.12,20.74,286
31,12,2021,0,5,149.3,349.13,38.9,10.44,2.08,16.04,310
1,1,2022,0,6,253.5,379.13,36.71,11.85,1.61,22.19,319
2,1,2022,1,7,293.33,406.57,38.94,9.35,1.54,20.99,239
3,1,2022,0,1,238.23,381.27,38.79,11.48,1.76,22.31,341
4,1,2022,0,2,244.42,376.91,40.03,12.86,1.67,15.55,180
5,1,2022,0,3,265.76,442.37,42.31,9.13,2.15,11.86,196
6,1,2022,0,4,103.43,199.66,27.94,10.97,0.82,15.34,248
7,1,2022,0,5,59.77,142.35,24.23,9.1,0.65,17.87,170
8,1,2022,0,6,42.23,80.45,24.87,9.55,0.73,12.72,205
9,1,2022,1,7,46.83,86.41,20.67,9.29,0.9,8.83,235
10,1,2022,0,1,93.31,145.9,25.7,9.1,1.05,10.01,175
11,1,2022,0,2,102.3,149.78,27.71,9.2,0.91,10.11,334
